,name
401,laboratory-investigationsandradiologypatientsinprivatepolyclinicsandhospitalsbyregion1440h2019g
402,laboratory-investigations-in-moh-hospitals-by-region-and-type-of-investigations-1440h-2019g
403,laboratory-investigations-and-radiology-patients-in-primary-healthcarecentersmoh-byregion1440h2019g
404,medical-rehabilitation-centers-cases-other-governmental-sector-1440-h-2019g
405,haemodialysis-patients-by-health-sector-sex-and-nationality-1439h-2018g
406,day-surgery-by-region-moh-1440h-2019g
407,surgical-interventions-in-the-private-sector-by-region-and-section-1440h-2019g
408,surgical-interventions-in-other-governmental-sector-hospitals-by-section-1440-h-2019g
409,surgical-interventions-in-moh-hospitals-by-region-and-hospital-sections-1440h-2019-g
410,births-in-the-private-sector-by-birth-status-1440h-2019g
411,births-in-other-governmental-sector-hospitals-by-birth-status-1440-h-2019g
412,deliveries-in-other-governmental-sector-hospitals-by-type-of-delivery-1440-h-2019g
413,inpatients-in-private-sector-hospitals-by-region-and-nationality-1440h-2019g
414,some-selected-indicators-of-moh-hospital-services-50-beds-by-region-1440h-2019g
415,some-selected-indicators-of-moh-hospital-services-100-beds-by-region-1440h-2019g
416,long-stay-patients-of-moh-hospitals-by-region-1440h-2019g
417,inpatients-of-moh-hospitals-by-region-and-nationality-1440h-2019g
418,visits-to-polyclinics-and-hospitals-of-the-private-sector-by-region-and-nationality-1440h-2019g
419,first-aid-centers-and-ambulances-of-the-saudi-red-crescent-authority-by-region-1440h-2019g
420,moh-phcs-visits-by-region-nationality-and-clinic-1440h-2019g
421,deaths-by-age-group-death'9/µí-place-and-sex-in-hajj-season-1438h
422,inpatients-by-nationality-sex-and-region-in-haj-season-1438h
423,outpatient-visits-by-region-sex-and-nationality-in-haj-season-1438h
424,primary-health-care-visits-by-region-sex-and-nationality-in-haj-season-1438h
425,activities-of-health-centers-control-at-entry-points-preventive-care-1438-h
426,moh-manpower-devoted-to-hajj-season-1438h
427,permanent-and-seasonal-health-facilities-by-region-in-hajj-season-1438h
428,achievements-of-call-center-937-2016-2017g-1437-1438h
429,number-of-moh-hospitals-implementing-home-health-care-program-manpower-beneficiaries
430,approximate-no-of-meals-served-in-moh-hospitals-b
431,cases-referred-to-social-service-departement-moh-hospitals
432,cases-sent-abroad-for-treatment-by-medical-case-and-country
433,distributi-on-of-resolutions-of-medical-malpractice-death-cases-issued
434,medical-malpractice-cases-referred-to-medico-legal-committees-in-1438h-2017g
435,cases-of-forensic-medicine-centers-moh-ksa-by-region-and-different-examinations-1438-h-2017g
436,laboratory-investigations-and-radiology-patients-in-private-polyclinics-and-hospitals
437,laboratory-investigations-and-radiology-patients-moh-hospitals-by-region-1438h-2017g
438,laboratory-investigations-and-radiology-patients-in-primary-health-care-centers-moh-by-region
439,medical-rehabilitation-centers-cases-other-governmental-sector-1438h-2017g
440,amputation-cases
441,medical-rehabilitation-centers-cases-moh-1438h-2017g
442,operations-in-private-hospitals-by-region-hospital-sections-1438h-2017g
443,operations-in-other-governmental-sector-hospitals-by-section-1438h-2017g
444,surgical-interventions-in-moh-hospitals-by-region-hospital-sections-1438h-2017-g
445,births-in-the-private-sector-by-birth-status-1438h-2017g
446,deliveries-in-the-private-sector-by-type-of-delivery-and-region-1438h-2017g
